timestamp,tipo_evento,juego_id,accion,equipo,jugador,resultado
2025-05-11T20:43:37.971331,ini,juego1,crea-jugador,Equipo_A,Javier,
2025-05-11T20:43:41.971331,fin,juego1,crea-jugador,Equipo_A,Javier,
2025-05-11T20:43:48.971331,ini,juego1,inicio-juego,Equipo_A,Javier,
2025-05-11T20:43:56.971331,ini,juego1,lanza-dado,Equipo_A,Javier,1
2025-05-11T20:43:58.971331,fin,juego1,lanza-dado,Equipo_A,Javier,5
2025-05-11T20:44:01.971331,fin,juego1,inicio-juego,Equipo_A,Javier,
2025-05-11T20:44:09.971331,ini,juego1,crea-jugador,Equipo_A,Ana,
2025-05-11T20:44:13.971331,fin,juego1,crea-jugador,Equipo_A,Ana,
2025-05-11T20:44:19.971331,ini,juego1,inicio-juego,Equipo_A,Ana,
2025-05-11T20:44:21.971331,ini,juego1,lanza-dado,Equipo_A,Ana,6
2025-05-11T20:44:25.971331,fin,juego1,lanza-dado,Equipo_A,Ana,6
2025-05-11T20:44:30.971331,fin,juego1,inicio-juego,Equipo_A,Ana,
2025-05-11T20:44:33.971331,ini,juego2,crea-jugador,Equipo_B,Carlos,
2025-05-11T20:44:34.971331,fin,juego2,crea-jugador,Equipo_B,Carlos,
2025-05-11T20:44:41.971331,ini,juego2,inicio-juego,Equipo_B,Carlos,
2025-05-11T20:44:44.971331,ini,juego2,lanza-dado,Equipo_B,Carlos,4
2025-05-11T20:44:48.971331,fin,juego2,lanza-dado,Equipo_B,Carlos,2
2025-05-11T20:44:52.971331,fin,juego2,inicio-juego,Equipo_B,Carlos,
2025-05-11T20:45:02.971331,ini,juego2,crea-jugador,Equipo_B,Isabel,
2025-05-11T20:45:05.971331,fin,juego2,crea-jugador,Equipo_B,Isabel,
2025-05-11T20:45:14.971331,ini,juego2,inicio-juego,Equipo_B,Isabel,
2025-05-11T20:45:18.971331,ini,juego2,lanza-dado,Equipo_B,Isabel,3
2025-05-11T20:45:21.971331,fin,juego2,lanza-dado,Equipo_B,Isabel,2
2025-05-11T20:45:25.971331,fin,juego2,inicio-juego,Equipo_B,Isabel,
2025-05-11T20:45:31.971331,ini,juego2,crea-jugador,Equipo_B,Javier,
2025-05-11T20:45:37.971331,fin,juego2,crea-jugador,Equipo_B,Javier,
2025-05-11T20:45:42.971331,ini,juego2,inicio-juego,Equipo_B,Javier,
2025-05-11T20:45:44.971331,ini,juego2,lanza-dado,Equipo_B,Javier,4
2025-05-11T20:45:45.971331,fin,juego2,lanza-dado,Equipo_B,Javier,5
2025-05-11T20:45:48.971331,fin,juego2,inicio-juego,Equipo_B,Javier,
2025-05-11T20:45:52.971331,ini,juego3,crea-jugador,Equipo_C,Carlos,
2025-05-11T20:45:53.971331,fin,juego3,crea-jugador,Equipo_C,Carlos,
2025-05-11T20:45:54.971331,ini,juego3,inicio-juego,Equipo_C,Carlos,
2025-05-11T20:45:58.971331,ini,juego3,lanza-dado,Equipo_C,Carlos,6
2025-05-11T20:46:02.971331,fin,juego3,lanza-dado,Equipo_C,Carlos,5
2025-05-11T20:46:03.971331,fin,juego3,inicio-juego,Equipo_C,Carlos,
2025-05-11T20:46:08.971331,ini,juego3,crea-jugador,Equipo_C,Ana,
2025-05-11T20:46:16.971331,fin,juego3,crea-jugador,Equipo_C,Ana,
2025-05-11T20:46:26.971331,ini,juego3,inicio-juego,Equipo_C,Ana,
2025-05-11T20:46:32.971331,ini,juego3,lanza-dado,Equipo_C,Ana,5
2025-05-11T20:46:35.971331,fin,juego3,lanza-dado,Equipo_C,Ana,2
2025-05-11T20:46:39.971331,fin,juego3,inicio-juego,Equipo_C,Ana,
2025-05-11T20:46:42.971331,ini,juego3,crea-jugador,Equipo_C,Elena,
2025-05-11T20:46:46.971331,fin,juego3,crea-jugador,Equipo_C,Elena,
2025-05-11T20:46:54.971331,ini,juego3,inicio-juego,Equipo_C,Elena,
2025-05-11T20:46:57.971331,ini,juego3,lanza-dado,Equipo_C,Elena,6
2025-05-11T20:47:01.971331,fin,juego3,lanza-dado,Equipo_C,Elena,4
2025-05-11T20:47:06.971331,fin,juego3,inicio-juego,Equipo_C,Elena,
